Batsman,Bowler,Batsman Points,Bowler Points
PBB Rajapaksa,PWH de Silva,7.0,-7.0
PBB Rajapaksa,Prasidh Krishna,18.0,-18.0
PBB Rajapaksa,Rashid Khan,7.0,-7.0
PBB Rajapaksa,Ravi Bishnoi,9.0,-9.0
PBB Rajapaksa,Ravichandran Ashwin,3.0,-3.0
PBB Rajapaksa,Ravindra Jadeja,17.0,-17.0
PBB Rajapaksa,SN Thakur,7.5,-7.5
PBB Rajapaksa,Shivam Mavi,19.0,-19.0
PBB Rajapaksa,Sunil Narine,41.0,-41.0
PBB Rajapaksa,TG Southee,5.5,-5.5
PBB Rajapaksa,UT Yadav,-6.0,6.0
PBB Rajapaksa,Vaibhav Arora,-2.0,2.0
PBB Rajapaksa,Varun Chakravarthy,2.0,-2.0
PBB Rajapaksa,Yuzvendra Chahal,-12.0,12.0
PC Valthaty,A Mishra,-6.666666666666667,6.666666666666667
PC Valthaty,A Nehra,1.0,-1.0
PC Valthaty,A Singh,3.0,-3.0
PC Valthaty,A Symonds,-13.0,13.0
PC Valthaty,AB Dinda,-25.5,25.5
PC Valthaty,AC Thomas,-15.0,15.0
PC Valthaty,AM Salvi,22.0,-22.0
PC Valthaty,AN Ahmed,4.0,-4.0
PC Valthaty,Anureet Singh,-17.0,17.0
PC Valthaty,B Lee,-7.0,7.0
PC Valthaty,Bhuvneshwar Kumar,8.0,-8.0
PC Valthaty,CH Gayle,-12.5,12.5
PC Valthaty,CK Langeveldt,-2.0,2.0
PC Valthaty,DT Christian,2.0,-2.0
PC Valthaty,DW Steyn,0.0,0.0
PC Valthaty,Harbhajan Singh,10.0,-10.0
PC Valthaty,IK Pathan,-7.0,7.0
PC Valthaty,Iqbal Abdulla,-2.0,2.0
PC Valthaty,Ishant Sharma,5.333333333333333,-5.333333333333333
PC Valthaty,J Botha,10.0,-10.0
PC Valthaty,JA Morkel,64.0,-64.0
PC Valthaty,JH Kallis,2.0,-2.0
PC Valthaty,JJ van der Wath,9.0,-9.0
PC Valthaty,JP Duminy,14.0,-14.0
PC Valthaty,JR Hopes,37.0,-37.0
PC Valthaty,KA Pollard,4.0,-4.0
PC Valthaty,KK Cooper,-17.0,17.0
PC Valthaty,Karn Sharma,-22.0,22.0
PC Valthaty,L Balaji,2.0,-2.0
PC Valthaty,M Morkel,-6.0,6.0
PC Valthaty,MM Patel,-3.5,3.5
PC Valthaty,MS Gony,45.0,-45.0
PC Valthaty,R Sharma,-23.0,23.0
PC Valthaty,R Vinay Kumar,-2.0,2.0
PC Valthaty,RP Singh,-1.0,1.0
PC Valthaty,Ravichandran Ashwin,31.0,-31.0
PC Valthaty,S Aravind,10.0,-10.0
PC Valthaty,S Randiv,39.0,-39.0
PC Valthaty,S Sreesanth,9.0,-9.0
PC Valthaty,S Sriram,1.0,-1.0
PC Valthaty,SB Jakati,14.0,-14.0
PC Valthaty,SB Styris,21.0,-21.0
PC Valthaty,SB Wagh,24.0,-24.0
PC Valthaty,SK Raina,1.0,-1.0
PC Valthaty,SK Trivedi,23.0,-23.0
PC Valthaty,SK Warne,-8.0,8.0
PC Valthaty,SL Malinga,-0.5,0.5
PC Valthaty,SR Watson,2.0,-2.0
PC Valthaty,STR Binny,4.0,-4.0
PC Valthaty,SW Tait,9.0,-9.0
PC Valthaty,TG Southee,42.0,-42.0
PC Valthaty,TL Suman,16.0,-16.0
PC Valthaty,UT Yadav,1.0,-1.0
PC Valthaty,VR Aaron,26.0,-26.0
PC Valthaty,WD Parnell,5.0,-5.0
PC Valthaty,YK Pathan,-17.0,17.0
PC Valthaty,Yuvraj Singh,-2.0,2.0
PC Valthaty,Z Khan,6.0,-6.0
PD Collingwood,A Kumble,13.0,-13.0
PD Collingwood,A Mithun,36.0,-36.0
PD Collingwood,A Symonds,2.0,-2.0
PD Collingwood,AB Agarkar,10.0,-10.0
PD Collingwood,AB Dinda,1.0,-1.0
PD Collingwood,AD Mathews,11.0,-11.0
PD Collingwood,AG Murtaza,1.0,-1.0
PD Collingwood,BAW Mendis,-24.0,24.0
PD Collingwood,CH Gayle,39.0,-39.0
PD Collingwood,CK Langeveldt,-27.0,27.0
PD Collingwood,CL White,34.0,-34.0
PD Collingwood,DJ Hussey,11.0,-11.0
PD Collingwood,Harmeet Singh,30.0,-30.0
PD Collingwood,JH Kallis,24.0,-24.0
PD Collingwood,KA Pollard,-24.0,24.0
PD Collingwood,KP Appanna,6.0,-6.0
PD Collingwood,KP Pietersen,2.0,-2.0
PD Collingwood,L Ablish,2.0,-2.0
PD Collingwood,M Kartik,6.0,-6.0
PD Collingwood,Mitchell Marsh,4.0,-4.0
PD Collingwood,PP Chawla,-24.0,24.0
PD Collingwood,PP Ojha,14.0,-14.0
PD Collingwood,R Sharma,23.0,-23.0
PD Collingwood,R Vinay Kumar,14.0,-14.0
PD Collingwood,RR Powar,1.0,-1.0
PD Collingwood,S Narwal,9.0,-9.0
PD Collingwood,SW Tait,21.0,-21.0
PD Collingwood,WPUJC Vaas,-2.0,2.0
PJ Sangwan,A Nehra,-27.0,27.0
PJ Sangwan,Arshdeep Singh,-24.0,24.0
PJ Sangwan,B Lee,1.0,-1.0
PJ Sangwan,CJ Anderson,1.0,-1.0
PJ Sangwan,CRD Fernando,4.0,-4.0
PJ Sangwan,DJ Bravo,1.5,-1.5
PJ Sangwan,Harbhajan Singh,1.0,-1.0
PJ Sangwan,IK Pathan,4.0,-4.0
PJ Sangwan,Jaydev Unadkat,-24.0,24.0
PJ Sangwan,KA Pollard,2.0,-2.0
PJ Sangwan,Kagiso Rabada,1.0,-1.0
PJ Sangwan,Kamran Khan,1.0,-1.0
PJ Sangwan,LR Shukla,-27.0,27.0
PJ Sangwan,Mohammed Siraj,-27.0,27.0
PJ Sangwan,RP Singh,3.0,-3.0
PJ Sangwan,Rashid Khan,-2.0,2.0
PJ Sangwan,SB Jakati,-27.0,27.0
PJ Sangwan,ST Jayasuriya,2.0,-2.0
PJ Sangwan,Sandeep Sharma,-27.0,27.0
PK Garg,AJ Hosein,2.0,-2.0
PK Garg,Abhishek Sharma,13.0,-13.0
PK Garg,Adam Zampa,2.0,-2.0
PK Garg,Anrich Nortje,12.0,-12.0
PK Garg,Arshdeep Singh,-16.0,16.0
PK Garg,CJ Jordan,2.0,-2.0
PK Garg,DJ Bravo,0.0,0.0
PK Garg,DR Sams,33.0,-33.0
PK Garg,DT Christian,-21.0,21.0
PK Garg,DW Steyn,11.0,-11.0
PK Garg,Deepak Chahar,11.0,-11.0
PK Garg,Hardik Pandya,1.0,-1.0
PK Garg,Harshal Patel,3.0,-3.0
PK Garg,J Little,5.0,-5.0
PK Garg,JDS Neesham,23.0,-23.0
PK Garg,Jasprit Bumrah,-13.0,13.0
PK Garg,Jaydev Unadkat,-3.0,3.0
PK Garg,Jofra Archer,3.0,-3.0
PK Garg,KA Pollard,6.0,-6.0
PK Garg,Kagiso Rabada,-12.5,12.5
PK Garg,Karn Sharma,-17.0,17.0
PK Garg,Krunal Pandya,-27.0,27.0
PK Garg,Liam Livingstone,1.0,-1.0
PK Garg,Lockie Ferguson,-23.0,23.0
PK Garg,Marcus Stoinis,-24.0,24.0
PK Garg,Mayank Markande,-1.0,1.0
PK Garg,Mohammed Shami,-21.0,21.0
PK Garg,Mustafizur Rahman,-27.0,27.0
PK Garg,NM Coulter-Nile,2.0,-2.0
PK Garg,PP Chawla,8.5,-8.5
PK Garg,R Sanjay Yadav,13.0,-13.0
PK Garg,RP Meredith,-2.0,2.0
PK Garg,Ramandeep Singh,-24.0,24.0
PK Garg,Ravichandran Ashwin,14.0,-14.0
PK Garg,Ravindra Jadeja,3.6666666666666665,-3.6666666666666665
PK Garg,SN Thakur,7.0,-7.0
PK Garg,Sam Curran,38.0,-38.0
PK Garg,Shakib Al Hasan,19.0,-19.0
PK Garg,Shivam Dube,-22.0,22.0
PK Garg,Shivam Mavi,-2.0,2.0
PK Garg,Sunil Narine,6.0,-6.0
PK Garg,Trent Boult,2.0,-2.0
PK Garg,UT Yadav,1.0,-1.0
PK Garg,Varun Chakravarthy,-10.5,10.5
PK Garg,Yuzvendra Chahal,-1.6666666666666667,1.6666666666666667
PM Sarvesh Kumar,A Mishra,1.0,-1.0
PN Mankad,Abhishek Sharma,10.0,-10.0
PN Mankad,Akash Madhwal,-23.0,23.0
PN Mankad,Bhuvneshwar Kumar,3.0,-3.0
PN Mankad,Fazalhaq Farooqi,27.0,-27.0
PN Mankad,Glenn Phillips,11.0,-11.0
PN Mankad,Harshit Rana,25.0,-25.0
PN Mankad,JP Behrendorff,-13.0,13.0
PN Mankad,Mayank Markande,26.0,-26.0
PN Mankad,T Natarajan,27.0,-27.0
PN Mankad,Umran Malik,8.0,-8.0
PN Mankad,Vaibhav Arora,-22.0,22.0
PN Mankad,Varun Chakravarthy,18.0,-18.0
PP Chawla,A Kumble,3.0,-3.0
PP Chawla,A Mishra,6.666666666666667,-6.666666666666667
PP Chawla,A Nehra,15.0,-15.0
PP Chawla,A Singh,7.5,-7.5
PP Chawla,A Symonds,3.0,-3.0
PP Chawla,AB Dinda,5.5,-5.5
PP Chawla,AC Thomas,2.0,-2.0
PP Chawla,AD Mathews,22.0,-22.0
PP Chawla,AJ Tye,2.0,-2.0
PP Chawla,AM Salvi,1.0,-1.0
PP Chawla,Anand Rajan,24.0,-24.0
PP Chawla,Anureet Singh,-13.0,13.0
PP Chawla,Avesh Khan,-13.0,13.0
PP Chawla,Axar Patel,-8.0,8.0
PP Chawla,BCJ Cutting,-15.0,15.0
PP Chawla,BE Hendricks,17.0,-17.0
PP Chawla,Bhuvneshwar Kumar,2.5,-2.5
PP Chawla,CH Gayle,-22.0,22.0
PP Chawla,CH Morris,9.0,-9.0
PP Chawla,D Pretorius,3.0,-3.0
PP Chawla,DJ Bravo,-17.666666666666668,17.666666666666668
PP Chawla,DJG Sammy,-2.0,2.0
PP Chawla,DL Vettori,2.0,-2.0
PP Chawla,DP Nannes,-24.0,24.0
PP Chawla,DR Smith,-22.0,22.0
PP Chawla,DS Kulkarni,-7.5,7.5
PP Chawla,DW Steyn,1.25,-1.25
PP Chawla,Deepak Chahar,2.0,-2.0
PP Chawla,FY Fazal,2.0,-2.0
PP Chawla,Glenn Maxwell,-27.0,27.0
PP Chawla,Harbhajan Singh,-14.333333333333334,14.333333333333334
PP Chawla,Hardik Pandya,1.0,-1.0
PP Chawla,Harshit Rana,1.0,-1.0
PP Chawla,IK Pathan,4.0,-4.0
PP Chawla,Imran Tahir,9.0,-9.0
PP Chawla,Ishant Sharma,19.5,-19.5
PP Chawla,J Botha,1.5,-1.5
PP Chawla,J Little,1.0,-1.0
PP Chawla,JA Morkel,-7.8,7.8
PP Chawla,JD Ryder,1.0,-1.0
PP Chawla,JH Kallis,12.0,-12.0
PP Chawla,JO Holder,-27.0,27.0
PP Chawla,JP Faulkner,-0.5,0.5
PP Chawla,Jasprit Bumrah,5.0,-5.0
PP Chawla,KA Pollard,-2.0,2.0
PP Chawla,KK Cooper,-24.5,24.5
PP Chawla,KMA Paul,12.0,-12.0
PP Chawla,Kagiso Rabada,-16.0,16.0
PP Chawla,Kamran Khan,-2.0,2.0
PP Chawla,Karn Sharma,13.0,-13.0
PP Chawla,Khaleel Ahmed,13.0,-13.0
PP Chawla,L Balaji,0.0,0.0
PP Chawla,LE Plunkett,1.0,-1.0
PP Chawla,M Manhas,6.0,-6.0
PP Chawla,M Morkel,-10.5,10.5
PP Chawla,M Muralitharan,-8.5,8.5
PP Chawla,MC Henriques,1.0,-1.0
PP Chawla,MF Maharoof,4.0,-4.0
PP Chawla,MG Johnson,-0.2,0.2
PP Chawla,MJ McClenaghan,1.0,-1.0
PP Chawla,MM Patel,7.666666666666667,-7.666666666666667
PP Chawla,MN Samuels,18.0,-18.0
PP Chawla,MS Gony,20.0,-20.0
PP Chawla,Matheesha Pathirana,2.0,-2.0
PP Chawla,Mitchell Starc,-27.0,27.0
PP Chawla,Mohammed Shami,4.5,-4.5
PP Chawla,Mohit Sharma,-16.666666666666668,16.666666666666668
PP Chawla,Mukesh Kumar,-17.0,17.0
PP Chawla,NLTC Perera,-21.666666666666668,21.666666666666668
PP Chawla,P Awana,17.5,-17.5
PP Chawla,P Kumar,-27.0,27.0
PP Chawla,P Negi,1.0,-1.0
PP Chawla,PP Ojha,1.0,-1.0
PP Chawla,R Bhatia,1.0,-1.0
PP Chawla,R McLaren,-6.0,6.0
PP Chawla,R Sharma,-4.333333333333333,4.333333333333333
PP Chawla,R Vinay Kumar,11.5,-11.5
PP Chawla,RJ Harris,2.0,-2.0
PP Chawla,RP Singh,-1.0,1.0
PP Chawla,Rahul Tewatia,-27.0,27.0
PP Chawla,Rashid Khan,-7.0,7.0
PP Chawla,Rasikh Salam,12.0,-12.0
PP Chawla,Ravichandran Ashwin,2.0,-2.0
PP Chawla,Rohit Sharma,1.0,-1.0
PP Chawla,S Kaul,-23.0,23.0
PP Chawla,SB Jakati,2.0,-2.0
PP Chawla,SB Styris,13.0,-13.0
PP Chawla,SB Wagh,-27.0,27.0
PP Chawla,SC Kuggeleijn,1.0,-1.0
PP Chawla,SK Raina,1.0,-1.0
PP Chawla,SK Trivedi,-5.333333333333333,5.333333333333333
PP Chawla,SK Warne,-3.0,3.0
PP Chawla,SL Malinga,-6.166666666666667,6.166666666666667
PP Chawla,SN Thakur,2.0,-2.0
PP Chawla,SR Watson,-3.5,3.5
PP Chawla,SSB Magala,2.0,-2.0
PP Chawla,STR Binny,2.0,-2.0
PP Chawla,SW Tait,-17.0,17.0
PP Chawla,Sandeep Sharma,1.5,-1.5
PP Chawla,Sunil Narine,-2.6666666666666665,2.6666666666666665
PP Chawla,T Thushara,2.0,-2.0
PP Chawla,UT Yadav,-15.0,15.0
PP Chawla,Umar Gul,-13.0,13.0
PP Chawla,VR Aaron,2.0,-2.0
PP Chawla,WD Parnell,-2.0,2.0
PP Chawla,WPUJC Vaas,9.0,-9.0
PP Chawla,YK Pathan,-23.0,23.0
PP Chawla,Yuvraj Singh,4.0,-4.0
PP Chawla,Yuzvendra Chahal,1.0,-1.0
PP Chawla,Z Khan,-1.6666666666666667,1.6666666666666667
PP Ojha,A Kumble,-27.0,27.0
PP Ojha,A Mishra,-27.0,27.0
PP Ojha,A Nehra,-24.0,24.0
PP Ojha,AB Agarkar,-27.0,27.0
PP Ojha,DJ Bravo,1.0,-1.0
PP Ojha,Imran Tahir,2.0,-2.0
PP Ojha,KK Cooper,1.0,-1.0
PP Ojha,L Balaji,1.0,-1.0
PP Ojha,M Morkel,1.0,-1.0
PP Ojha,M Muralitharan,1.0,-1.0
PP Ojha,Mitchell Starc,1.0,-1.0
PP Ojha,Mohit Sharma,-13.0,13.0
PP Ojha,R Bhatia,-27.0,27.0
PP Ojha,SK Raina,-27.0,27.0
PP Ojha,SL Malinga,-12.5,12.5
PP Ojha,Sohail Tanvir,1.0,-1.0
PP Ojha,UT Yadav,2.0,-2.0
PP Ojha,VR Aaron,-2.0,2.0
PP Ojha,WD Parnell,-0.5,0.5
PP Shaw,AJ Tye,11.0,-11.0
PP Shaw,AS Rajpoot,-16.0,16.0
PP Shaw,Abhishek Sharma,16.0,-16.0
PP Shaw,Akash Madhwal,18.0,-18.0
PP Shaw,Andre Russell,11.4,-11.4
PP Shaw,Arshad Khan,14.5,-14.5
PP Shaw,Arshdeep Singh,9.5,-9.5
PP Shaw,Avesh Khan,13.0,-13.0
PP Shaw,Azmatullah Omarzai,18.0,-18.0
PP Shaw,BA Stokes,3.0,-3.0
PP Shaw,BB Sran,29.0,-29.0
PP Shaw,Basil Thampi,-4.5,4.5
PP Shaw,Bhuvneshwar Kumar,1.1666666666666667,-1.1666666666666667
PP Shaw,C Green,1.0,-1.0
PP Shaw,CH Morris,1.0,-1.0
PP Shaw,CJ Jordan,23.0,-23.0
PP Shaw,Chetan Sakariya,-9.0,9.0
PP Shaw,DJ Bravo,-22.0,22.0
PP Shaw,DR Sams,15.666666666666666,-15.666666666666666
PP Shaw,DS Kulkarni,22.0,-22.0
PP Shaw,Deepak Chahar,0.5454545454545454,-0.5454545454545454
PP Shaw,Deepak Hooda,16.0,-16.0
PP Shaw,Dushmantha Chameera,-17.0,17.0
PP Shaw,GHS Garton,11.0,-11.0
PP Shaw,Gerald Coetzee,31.0,-31.0
PP Shaw,Glenn Maxwell,6.333333333333333,-6.333333333333333
PP Shaw,HR Shokeen,-3.5,3.5
PP Shaw,Harbhajan Singh,9.0,-9.0
PP Shaw,Hardik Pandya,9.666666666666666,-9.666666666666666
PP Shaw,Harpreet Brar,-27.0,27.0
PP Shaw,Harshal Patel,-12.0,12.0
PP Shaw,I Udana,24.0,-24.0
PP Shaw,IS Sodhi,-27.0,27.0
PP Shaw,J Little,1.0,-1.0
PP Shaw,J Suchith,6.0,-6.0
PP Shaw,J Yadav,-3.0,3.0
PP Shaw,JA Richardson,21.0,-21.0
PP Shaw,JDS Neesham,-27.0,27.0
PP Shaw,JO Holder,24.0,-24.0
PP Shaw,JP Behrendorff,9.0,-9.0
PP Shaw,Jalaj S Saxena,9.0,-9.0
PP Shaw,Jasprit Bumrah,-6.5,6.5
PP Shaw,Jaydev Unadkat,9.25,-9.25
PP Shaw,Jofra Archer,-7.5,7.5
PP Shaw,Josh Hazlewood,13.5,-13.5
PP Shaw,K Gowtham,8.0,-8.0
PP Shaw,K Khejroliya,9.0,-9.0
PP Shaw,KA Jamieson,1.0,-1.0
PP Shaw,KM Asif,-9.0,9.0
PP Shaw,KR Mayers,1.0,-1.0
PP Shaw,Kagiso Rabada,9.5,-9.5
PP Shaw,Kamlesh Nagarkoti,2.0,-2.0
PP Shaw,Khaleel Ahmed,0.0,0.0
PP Shaw,Krunal Pandya,-0.2,0.2
PP Shaw,Kuldeep Yadav,20.5,-20.5
PP Shaw,Lockie Ferguson,3.0,-3.0
PP Shaw,Lungi Ngidi,1.0,-1.0
PP Shaw,M Ashwin,12.0,-12.0
PP Shaw,MA Wood,-27.0,27.0
PP Shaw,MG Johnson,44.0,-44.0
PP Shaw,MJ McClenaghan,-17.0,17.0
PP Shaw,Mahipal Lomror,-2.0,2.0
PP Shaw,Matheesha Pathirana,1.0,-1.0
PP Shaw,Mitchell Starc,21.5,-21.5
PP Shaw,Moeen Ali,19.0,-19.0
PP Shaw,Mohammad Nabi,8.333333333333334,-8.333333333333334
PP Shaw,Mohammed Shami,4.571428571428571,-4.571428571428571
PP Shaw,Mohammed Siraj,-4.714285714285714,4.714285714285714
PP Shaw,Mohsin Khan,1.0,-1.0
PP Shaw,Mustafizur Rahman,15.0,-15.0
PP Shaw,Nathan Ellis,6.5,-6.5
PP Shaw,Navdeep Saini,11.5,-11.5
PP Shaw,Naveen-ul-Haq,17.0,-17.0
PP Shaw,Nitish Rana,10.0,-10.0
PP Shaw,O Thomas,8.0,-8.0
PP Shaw,OC McCoy,30.0,-30.0
PP Shaw,P Negi,-24.0,24.0
PP Shaw,PP Chawla,13.5,-13.5
PP Shaw,Pat Cummins,10.333333333333334,-10.333333333333334
PP Shaw,Prasidh Krishna,8.0,-8.0
PP Shaw,RP Meredith,3.0,-3.0
PP Shaw,Rahul Chahar,-2.3333333333333335,2.3333333333333335
PP Shaw,Rashid Khan,3.0,-3.0
PP Shaw,Rasikh Salam,6.0,-6.0
PP Shaw,Ravi Bishnoi,-1.3333333333333333,1.3333333333333333
PP Shaw,Ravichandran Ashwin,-23.5,23.5
PP Shaw,Ravindra Jadeja,8.6,-8.6
PP Shaw,Riyan Parag,12.0,-12.0
PP Shaw,Romario Shepherd,11.0,-11.0
PP Shaw,S Kaul,30.0,-30.0
PP Shaw,S Sandeep Warrier,-19.0,19.0
PP Shaw,SL Malinga,1.0,-1.0
PP Shaw,SN Thakur,27.333333333333332,-27.333333333333332
PP Shaw,SS Cottrell,9.0,-9.0
PP Shaw,STR Binny,2.0,-2.0
PP Shaw,Sam Curran,4.75,-4.75
PP Shaw,Sandeep Sharma,19.0,-19.0
PP Shaw,Shahbaz Ahmed,1.0,-1.0
PP Shaw,Shakib Al Hasan,8.666666666666666,-8.666666666666666
PP Shaw,Shivam Mavi,25.0,-25.0
PP Shaw,Shreyas Gopal,-13.0,13.0
PP Shaw,Sunil Narine,12.5,-12.5
PP Shaw,TG Southee,33.0,-33.0
PP Shaw,TS Mills,22.0,-22.0
PP Shaw,Trent Boult,-7.428571428571429,7.428571428571429
PP Shaw,Tushar Deshpande,-8.0,8.0
PP Shaw,UT Yadav,-1.75,1.75
PP Shaw,VR Aaron,8.5,-8.5
PP Shaw,Vaibhav Arora,-5.0,5.0
PP Shaw,Varun Chakravarthy,-3.6,3.6
PP Shaw,Venkatesh Iyer,22.0,-22.0
PP Shaw,Vijay Shankar,1.0,-1.0
PP Shaw,Washington Sundar,10.25,-10.25
PP Shaw,Yuzvendra Chahal,3.5,-3.5
PR Shah,A Mishra,1.0,-1.0
PR Shah,A Nehra,2.0,-2.0
PR Shah,AM Salvi,4.0,-4.0
PR Shah,B Akhil,-23.0,23.0
PR Shah,BJ Hodge,-17.0,17.0
PR Shah,DP Nannes,-13.0,13.0
PR Shah,DP Vijaykumar,10.0,-10.0
PR Shah,DR Smith,24.0,-24.0
PR Shah,Harmeet Singh,18.0,-18.0
PR Shah,JH Kallis,9.0,-9.0
PR Shah,P Parameswaran,1.0,-1.0
PR Shah,PJ Sangwan,7.0,-7.0
PR Shah,R Bhatia,-7.5,7.5
PR Shah,R Vinay Kumar,4.0,-4.0
PR Shah,RJ Harris,3.0,-3.0
PR Shah,RP Singh,-8.0,8.0
PR Shah,S Sreesanth,-21.0,21.0
PR Shah,SB Joshi,12.0,-12.0
PR Shah,Shoaib Ahmed,8.0,-8.0
PR Shah,TL Suman,-27.0,27.0
PR Shah,VY Mahesh,-27.0,27.0
PR Shah,Yuvraj Singh,1.0,-1.0
PR Shah,Z Khan,-2.0,2.0
PSP Handscomb,Harbhajan Singh,-22.0,22.0
PSP Handscomb,Jasprit Bumrah,1.0,-1.0
PSP Handscomb,TG Southee,2.0,-2.0
PV Tambe,BW Hilfenhaus,1.0,-1.0
PV Tambe,CH Gayle,-2.0,2.0
PV Tambe,CJ Jordan,-2.0,2.0
PV Tambe,DJ Bravo,1.0,-1.0
PV Tambe,DW Steyn,2.0,-2.0
PV Tambe,IK Pathan,-24.0,24.0
PV Tambe,Mitchell Starc,2.0,-2.0
PV Tambe,NLTC Perera,1.0,-1.0
PV Tambe,Ravichandran Ashwin,1.0,-1.0
PV Tambe,S Aravind,1.0,-1.0
PV Tambe,VR Aaron,8.0,-8.0
PV Tambe,Virat Kohli,2.0,-2.0
PWH de Silva,Akash Madhwal,4.0,-4.0
PWH de Silva,Andre Russell,-27.0,27.0
PWH de Silva,CJ Jordan,16.0,-16.0
PWH de Silva,DJ Bravo,1.0,-1.0
PWH de Silva,J Suchith,-2.0,2.0
PWH de Silva,JO Holder,1.0,-1.0
PWH de Silva,KR Sen,-13.0,13.0
PWH de Silva,Kagiso Rabada,-2.0,2.0
PWH de Silva,Maheesh Theekshana,-13.0,13.0
PWH de Silva,Marco Jansen,10.0,-10.0
PWH de Silva,Matheesha Pathirana,1.0,-1.0
PWH de Silva,Naveen-ul-Haq,10.0,-10.0
PWH de Silva,Prasidh Krishna,-12.5,12.5
PWH de Silva,Rahul Chahar,-24.0,24.0
PWH de Silva,Ravichandran Ashwin,2.0,-2.0
PWH de Silva,Ravindra Jadeja,-13.0,13.0
PWH de Silva,Sandeep Sharma,-27.0,27.0
PWH de Silva,Sunil Narine,5.0,-5.0
PWH de Silva,T Natarajan,-24.0,24.0
PWH de Silva,TG Southee,-17.0,17.0
PWH de Silva,Tushar Deshpande,1.0,-1.0
PWH de Silva,Umran Malik,1.0,-1.0
PWH de Silva,Varun Chakravarthy,-27.0,27.0
PWH de Silva,Yash Thakur,2.0,-2.0
PWH de Silva,Yuzvendra Chahal,7.5,-7.5
Pankaj Singh,A Nehra,1.0,-1.0
Pankaj Singh,A Symonds,3.0,-3.0
Pankaj Singh,IK Pathan,-13.0,13.0
Pankaj Singh,KA Pollard,-24.0,24.0
Pankaj Singh,RP Singh,1.0,-1.0
Parvez Rasool,A Nehra,3.0,-3.0
Parvez Rasool,AN Ahmed,2.0,-2.0
Parvez Rasool,Bhuvneshwar Kumar,-16.0,16.0
Parvez Rasool,L Balaji,-27.0,27.0
Parvez Rasool,MG Johnson,1.0,-1.0
Parvez Rasool,Mohit Sharma,2.0,-2.0
Parvez Rasool,Mustafizur Rahman,2.0,-2.0
Parvez Rasool,SL Malinga,1.0,-1.0
Parvez Rasool,Sunil Narine,1.0,-1.0
Pat Cummins,A Nehra,-2.0,2.0
Pat Cummins,AS Rajpoot,1.0,-1.0
Pat Cummins,Andre Russell,-21.5,21.5
Pat Cummins,Anrich Nortje,-17.0,17.0
Pat Cummins,Arshdeep Singh,2.0,-2.0
Pat Cummins,Avesh Khan,4.5,-4.5
Pat Cummins,Axar Patel,2.0,-2.0
Pat Cummins,BA Stokes,1.5,-1.5
Pat Cummins,Basil Thampi,6.0,-6.0
Pat Cummins,Bhuvneshwar Kumar,-27.0,27.0
Pat Cummins,C Green,-27.0,27.0
Pat Cummins,CH Morris,-18.0,18.0
Pat Cummins,CJ Jordan,2.0,-2.0
Pat Cummins,CR Woakes,1.0,-1.0
Pat Cummins,DJ Bravo,-12.0,12.0
Pat Cummins,DR Sams,70.0,-70.0
Pat Cummins,DS Kulkarni,1.0,-1.0
Pat Cummins,Harbhajan Singh,-12.0,12.0
Pat Cummins,Hardik Pandya,1.0,-1.0
Pat Cummins,Harshal Patel,1.0,-1.0
Pat Cummins,Harshit Rana,8.0,-8.0
Pat Cummins,JL Pattinson,-27.0,27.0
Pat Cummins,JP Faulkner,-10.0,10.0
Pat Cummins,Jasprit Bumrah,11.166666666666666,-11.166666666666666
Pat Cummins,Jofra Archer,7.5,-7.5
Pat Cummins,KA Jamieson,-13.0,13.0
Pat Cummins,Kagiso Rabada,-11.0,11.0
Pat Cummins,Karn Sharma,14.5,-14.5
Pat Cummins,Kartik Tyagi,-22.0,22.0
Pat Cummins,Khaleel Ahmed,8.0,-8.0
Pat Cummins,Krunal Pandya,5.0,-5.0
Pat Cummins,Kuldeep Yadav,-27.0,27.0
Pat Cummins,Lungi Ngidi,14.0,-14.0
Pat Cummins,M Ashwin,1.0,-1.0
Pat Cummins,Mitchell Starc,21.0,-21.0
Pat Cummins,Mohit Sharma,2.0,-2.0
Pat Cummins,Mukesh Kumar,1.0,-1.0
Pat Cummins,Mustafizur Rahman,3.0,-3.0
Pat Cummins,NM Coulter-Nile,20.0,-20.0
Pat Cummins,Nuwan Thushara,30.0,-30.0
Pat Cummins,PJ Sangwan,16.0,-16.0
Pat Cummins,PP Chawla,14.0,-14.0
Pat Cummins,Rahul Chahar,7.0,-7.0
Pat Cummins,Ravi Bishnoi,-27.0,27.0
Pat Cummins,Ravindra Jadeja,1.0,-1.0
Pat Cummins,SL Malinga,-2.0,2.0
Pat Cummins,SN Thakur,20.333333333333332,-20.333333333333332
Pat Cummins,SR Watson,-17.0,17.0
Pat Cummins,Sam Curran,39.5,-39.5
Pat Cummins,Sandeep Sharma,14.0,-14.0
Pat Cummins,Sunil Narine,4.0,-4.0
Pat Cummins,Swapnil Singh,25.0,-25.0
Pat Cummins,T Natarajan,3.0,-3.0
Pat Cummins,TK Curran,-20.0,20.0
Pat Cummins,TS Mills,11.5,-11.5
Pat Cummins,Travis Head,-12.0,12.0
Pat Cummins,Trent Boult,4.333333333333333,-4.333333333333333
Pat Cummins,Tushar Deshpande,-27.0,27.0
Pat Cummins,Varun Chakravarthy,12.0,-12.0
Pat Cummins,Washington Sundar,1.5,-1.5
Pat Cummins,Yash Dayal,2.0,-2.0
